Week,depression: (Worldwide)
2020-01-05,77
2020-01-12,76
2020-01-19,75
2020-01-26,77
2020-02-02,79
2020-02-09,79
2020-02-16,83
2020-02-23,80
2020-03-01,83
2020-03-08,77
2020-03-15,76
2020-03-22,77
2020-03-29,78
2020-04-05,82
2020-04-12,82
2020-04-19,81
2020-04-26,81
2020-05-03,81
2020-05-10,76
2020-05-17,75
2020-05-24,70
2020-05-31,65
2020-06-07,68
2020-06-14,100
2020-06-21,73
2020-06-28,70
2020-07-05,70
2020-07-12,68
2020-07-19,70
2020-07-26,70
2020-08-02,67
2020-08-09,66
2020-08-16,73
2020-08-23,69
2020-08-30,69
2020-09-06,73
2020-09-13,76
2020-09-20,72
2020-09-27,70
2020-10-04,70
2020-10-11,71
2020-10-18,71
2020-10-25,67
2020-11-01,68
2020-11-08,71
2020-11-15,76
2020-11-22,66
2020-11-29,71
2020-12-06,73
2020-12-13,69
2020-12-20,57
2020-12-27,61
