Week,drugs,depression
2020-01-05,76,77
2020-01-12,76,75
2020-01-19,74,75
2020-01-26,78,77
2020-02-02,81,79
2020-02-09,80,79
2020-02-16,84,82
2020-02-23,83,81
2020-03-01,83,83
2020-03-08,74,76
2020-03-15,81,76
2020-03-22,82,77
2020-03-29,80,79
2020-04-05,85,82
2020-04-12,80,82
2020-04-19,80,81
2020-04-26,80,81
2020-05-03,81,81
2020-05-10,78,76
2020-05-17,74,75
2020-05-24,72,70
2020-05-31,77,65
2020-06-07,78,67
2020-06-14,75,100
2020-06-21,79,73
2020-06-28,72,70
2020-07-05,73,70
2020-07-12,78,68
2020-07-19,86,70
2020-07-26,83,70
2020-08-02,77,67
2020-08-09,76,66
2020-08-16,79,73
2020-08-23,86,69
2020-08-30,81,70
2020-09-06,87,73
2020-09-13,84,76
2020-09-20,93,72
2020-09-27,83,70
2020-10-04,83,70
2020-10-11,82,71
2020-10-18,75,71
2020-10-25,74,67
2020-11-01,86,67
2020-11-08,81,71
2020-11-15,84,75
2020-11-22,79,66
2020-11-29,79,71
2020-12-06,81,72
2020-12-13,77,68
2020-12-20,72,57
2020-12-27,71,60
