Week,suicide,depression
2020-01-05,40,57
2020-01-12,47,56
2020-01-19,45,55
2020-01-26,46,57
2020-02-02,49,58
2020-02-09,51,58
2020-02-16,57,61
2020-02-23,47,60
2020-03-01,44,61
2020-03-08,39,56
2020-03-15,35,56
2020-03-22,38,57
2020-03-29,49,58
2020-04-05,42,61
2020-04-12,40,61
2020-04-19,40,59
2020-04-26,47,60
2020-05-03,44,60
2020-05-10,40,56
2020-05-17,40,55
2020-05-24,43,52
2020-05-31,43,48
2020-06-07,41,50
2020-06-14,91,74
2020-06-21,52,54
2020-06-28,47,51
2020-07-05,46,52
2020-07-12,45,50
2020-07-19,43,51
2020-07-26,42,52
2020-08-02,46,49
2020-08-09,42,49
2020-08-16,44,54
2020-08-23,60,51
2020-08-30,47,52
2020-09-06,100,54
2020-09-13,47,56
2020-09-20,43,53
2020-09-27,40,52
2020-10-04,38,52
2020-10-11,40,53
2020-10-18,38,52
2020-10-25,39,50
2020-11-01,35,50
2020-11-08,36,52
2020-11-15,39,56
2020-11-22,35,49
2020-11-29,39,52
2020-12-06,39,53
2020-12-13,35,50
2020-12-20,33,42
2020-12-27,41,45
